pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
0,3,11,1,28.0,32.0,51,0.3044522437723423,0.5069444444444444,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
1,5003,5011,8,0.0,2.0,1,0.6931471805599453,0.0,1,2,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
2,10003,10011,15,20.0,31.0,31,0.13862943611198905,0.5109126984126985,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
3,15003,15011,22,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
4,20003,20011,29,31.0,34.0,77,0.10986122886681098,0.5595238095238095,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
5,25003,25011,36,21.0,33.0,55,0.13862943611198905,0.5386904761904762,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,3,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
7,35003,35011,2,29.0,32.0,82,0.2995732273553991,0.49702380952380953,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
8,40003,40011,9,25.0,30.0,24,0.313549421592915,0.5396825396825397,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
9,45003,45011,16,22.0,32.0,76,0.16094379124341002,0.498015873015873,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
11,55003,55011,30,25.0,31.0,74,0.20794415416798356,0.5009920634920635,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
12,60003,60011,37,26.0,34.0,62,0.21972245773362195,0.5178571428571429,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
13,65003,65011,44,26.0,32.0,42,0.16094379124341002,0.5069444444444444,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
14,70003,70011,3,22.0,33.0,93,0.2833213344056216,0.5327380952380952,0,,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
15,75003,75011,10,0.0,3.0,4,0.27465307216702745,0.0,1,13,distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0
0,3,11,1,18.0,32.0,29,0.3044522437723423,0.3888888888888889,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
1,5003,5011,8,23.0,31.0,91,0.29444389791664405,0.4583333333333333,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
2,10003,10011,15,23.0,28.0,13,0.313549421592915,0.4464285714285714,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
3,15003,15011,22,16.0,29.0,81,0.0,0.47222222222222227,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
5,25003,25011,36,0.0,4.0,3,0.46209812037329684,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
7,35003,35011,2,16.0,27.0,8,0.41197960825054114,0.40277777777777773,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
8,40003,40011,9,19.0,29.0,67,0.13862943611198905,0.4464285714285714,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
9,45003,45011,16,27.0,30.0,56,0.1791759469228055,0.4791666666666667,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
11,55003,55011,30,0.0,6.0,15,0.06931471805599453,0.0,1,21,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
12,60003,60011,37,0.0,1.0,0,0.0,0.0,1,5,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
13,65003,65011,44,0.0,3.0,2,0.5493061443340549,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
14,70003,70011,3,18.0,29.0,10,0.3367295829986474,0.4464285714285714,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
15,75003,75011,10,15.0,29.0,82,0.16094379124341002,0.43353174603174605,0,,distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0
0,3,11,1,3.0,26.0,78,0.2995732273553991,0.21924603174603174,0,,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
1,5003,5011,8,19.0,28.0,86,0.3258096538021482,0.435515873015873,0,,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
2,10003,10011,15,0.0,2.0,2,0.34657359027997264,0.0,1,3,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
3,15003,15011,22,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
4,20003,20011,29,0.0,2.0,1,0.6931471805599453,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
