temp,system,k,mc_k,alpha_k,MC,readout_dim,eff_rank
0.3,reservoir,31,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,32,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,33,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,34,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,35,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,36,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,37,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,38,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,39,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,40,0.0,100.0,0.22965775933866117,368,368
0.3,shuffled_input,0,0.0,100.0,0.0,368,368
0.3,shuffled_input,1,0.0,100.0,0.0,368,368
0.3,shuffled_input,2,0.0,100.0,0.0,368,368
0.3,shuffled_input,3,0.0,100.0,0.0,368,368
0.3,shuffled_input,4,0.0,100.0,0.0,368,368
0.3,shuffled_input,5,0.0,100.0,0.0,368,368
0.3,shuffled_input,6,0.0,100.0,0.0,368,368
0.3,shuffled_input,7,0.0,100.0,0.0,368,368
0.3,shuffled_input,8,0.0,100.0,0.0,368,368
0.3,shuffled_input,9,0.0,100.0,0.0,368,368
0.3,shuffled_input,10,0.0,100.0,0.0,368,368
0.3,shuffled_input,11,0.0,100.0,0.0,368,368
0.3,shuffled_input,12,0.0,100.0,0.0,368,368
0.3,shuffled_input,13,0.0,100.0,0.0,368,368
0.3,shuffled_input,14,0.0,100.0,0.0,368,368
0.3,shuffled_input,15,0.0,100.0,0.0,368,368
0.3,shuffled_input,16,0.0,100.0,0.0,368,368
0.3,shuffled_input,17,0.0,100.0,0.0,368,368
0.3,shuffled_input,18,0.0,100.0,0.0,368,368
0.3,shuffled_input,19,0.0,100.0,0.0,368,368
0.3,shuffled_input,20,0.0,100.0,0.0,368,368
0.3,shuffled_input,21,0.0,100.0,0.0,368,368
0.3,shuffled_input,22,0.0,100.0,0.0,368,368
0.3,shuffled_input,23,0.0,100.0,0.0,368,368
0.3,shuffled_input,24,0.0,100.0,0.0,368,368
0.3,shuffled_input,25,0.0,100.0,0.0,368,368
0.3,shuffled_input,26,0.0,100.0,0.0,368,368
0.3,shuffled_input,27,0.0,100.0,0.0,368,368
0.3,shuffled_input,28,0.0,100.0,0.0,368,368
0.3,shuffled_input,29,0.0,100.0,0.0,368,368
0.3,shuffled_input,30,0.0,100.0,0.0,368,368
0.3,shuffled_input,31,0.0,100.0,0.0,368,368
0.3,shuffled_input,32,0.0,100.0,0.0,368,368
0.3,shuffled_input,33,0.0,100.0,0.0,368,368
0.3,shuffled_input,34,0.0,100.0,0.0,368,368
0.3,shuffled_input,35,0.0,100.0,0.0,368,368
0.3,shuffled_input,36,0.0,100.0,0.0,368,368
0.3,shuffled_input,37,0.0,100.0,0.0,368,368
0.3,shuffled_input,38,0.0,100.0,0.0,368,368
0.3,shuffled_input,39,0.0,100.0,0.0,368,368
0.3,shuffled_input,40,0.0,100.0,0.0,368,368
0.5,reservoir,0,0.15952775825951793,100.0,0.15952775825951793,368,368
0.5,reservoir,1,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,2,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,3,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,4,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,5,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,6,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,7,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,8,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,9,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,10,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,11,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,12,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,13,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,14,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,15,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,16,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,17,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,18,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,19,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,20,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,21,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,22,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,23,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,24,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,25,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,26,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,27,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,28,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,29,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,30,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,31,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,32,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,33,0.0,100.0,0.15952775825951793,368,368
0.5,reservoir,34,0.0,100.0,0.15952775825951793,368,368
