pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
7,35003,35011,2,39.0,45.0,52,0.36805487239580503,0.8186274509803922,0,,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
0,3,11,1,48.0,48.0,15,0.4444185076861767,0.9950980392156863,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
1,5003,5011,8,47.0,47.0,80,0.4444185076861767,0.8835784313725491,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
2,10003,10011,15,46.0,48.0,23,0.4332169878499658,0.9693627450980392,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
3,15003,15011,22,48.0,48.0,38,0.4579452057662058,1.0,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
4,20003,20011,29,27.0,48.0,14,0.4407950655770202,0.6715686274509803,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
5,25003,25011,36,44.0,45.0,60,0.354151668007027,0.9325980392156863,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
6,30003,30011,43,46.0,48.0,66,0.4546982699657982,0.9718137254901961,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
7,35003,35011,2,48.0,48.0,66,0.4407950655770202,0.9963235294117646,0,,distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0
0,3,11,1,35.0,48.0,14,0.4546982699657982,0.8088235294117646,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
1,5003,5011,8,43.0,43.0,13,0.4407950655770202,0.801470588235294,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
2,10003,10011,15,47.0,48.0,14,0.42091197874830927,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
3,15003,15011,22,48.0,48.0,15,0.46720870228542105,0.9963235294117646,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
4,20003,20011,29,48.0,48.0,13,0.4444185076861767,1.0,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
5,25003,25011,36,48.0,48.0,48,0.4332169878499658,1.0,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
6,30003,30011,43,48.0,48.0,15,0.4444185076861767,1.0,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
7,35003,35011,2,48.0,48.0,18,0.45136473908052804,1.0,0,,distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0
0,3,11,1,48.0,48.0,19,0.4579452057662058,0.988970588235294,0,,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
1,5003,5011,8,48.0,48.0,18,0.4332169878499658,1.0,0,,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
2,10003,10011,15,0.0,40.0,11,0.40726206725268527,0.0,1,57,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
3,15003,15011,22,47.0,48.0,21,0.4407950655770202,0.982843137254902,0,,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
4,20003,20011,29,48.0,48.0,26,0.4641965083380385,0.9289215686274509,0,,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
5,25003,25011,36,48.0,48.0,16,0.42091197874830927,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
6,30003,30011,43,48.0,48.0,35,0.45136473908052804,0.9865196078431372,0,,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
7,35003,35011,2,48.0,48.0,32,0.3972567287934932,0.9950980392156863,0,,distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0
0,3,11,1,48.0,48.0,28,0.42514967270776943,0.9926470588235294,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
1,5003,5011,8,41.0,47.0,15,0.42514967270776943,0.8688725490196078,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
2,10003,10011,15,40.0,46.0,14,0.3972567287934932,0.8517156862745098,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
3,15003,15011,22,41.0,47.0,51,0.40235947810852507,0.9105392156862745,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
4,20003,20011,29,46.0,48.0,20,0.4407950655770202,0.9938725490196078,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
5,25003,25011,36,47.0,48.0,36,0.4444185076861767,0.9742647058823529,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
6,30003,30011,43,48.0,48.0,21,0.42514967270776943,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
7,35003,35011,2,44.0,47.0,27,0.40235947810852507,0.9019607843137255,0,,distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0
0,3,11,1,38.0,46.0,35,0.40726206725268527,0.8321078431372548,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
1,5003,5011,8,40.0,47.0,66,0.37446653419424886,0.9215686274509803,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
2,10003,10011,15,38.0,43.0,61,0.40235947810852507,0.8026960784313726,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
3,15003,15011,22,43.0,44.0,21,0.4292484005606433,0.8394607843137255,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
4,20003,20011,29,46.0,46.0,75,0.4407950655770202,0.8762254901960785,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
5,25003,25011,36,45.0,46.0,37,0.37446653419424886,0.875,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
6,30003,30011,43,47.0,47.0,80,0.3863803066697895,0.8223039215686274,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
7,35003,35011,2,37.0,45.0,38,0.4292484005606433,0.7806372549019608,0,,distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0
0,3,11,1,48.0,48.0,10,0.4730237042397826,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
1,5003,5011,8,44.0,46.0,66,0.4579452057662058,0.8406862745098039,0,,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
2,10003,10011,15,0.0,35.0,7,0.507906865927059,0.0012254901960784314,1,65,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
3,15003,15011,22,17.0,34.0,7,0.5037657892308802,0.36764705882352944,0,,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
4,20003,20011,29,48.0,48.0,20,0.46720870228542105,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
5,25003,25011,36,48.0,48.0,17,0.46720870228542105,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
6,30003,30011,43,40.0,41.0,61,0.4292484005606433,0.8504901960784313,0,,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
7,35003,35011,2,48.0,48.0,26,0.46110993176424203,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0
0,3,11,1,48.0,48.0,12,0.4701500144616953,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
1,5003,5011,8,48.0,48.0,14,0.4641965083380385,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
2,10003,10011,15,48.0,48.0,11,0.47583281122128995,0.9877450980392157,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
3,15003,15011,22,48.0,48.0,36,0.4407950655770202,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
4,20003,20011,29,48.0,48.0,10,0.4730237042397826,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
5,25003,25011,36,48.0,48.0,15,0.47583281122128995,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
6,30003,30011,43,48.0,48.0,10,0.4730237042397826,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
7,35003,35011,2,48.0,48.0,9,0.4812684502137573,1.0,0,,distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0
0,3,11,1,48.0,48.0,15,0.4730237042397826,1.0,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
