model,model_tag,arch,window,temp,pair,generation,hamming
distilroberta-base,distilroberta-base,local,1,0.6,3,32,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,33,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,34,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,35,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,36,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,37,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,38,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,39,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,40,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,41,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,42,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,43,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,44,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,45,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,46,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,47,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,48,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,49,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,50,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,51,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,52,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,53,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,54,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,55,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,56,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,57,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,58,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,59,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,60,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,61,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,62,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,63,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,64,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,65,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,66,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,67,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,68,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,69,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,70,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,71,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,72,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,73,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,74,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,75,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,76,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,77,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,78,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,79,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,80,0.0
distilroberta-base,distilroberta-base,local,1,0.6,4,0,1.0
distilroberta-base,distilroberta-base,local,1,0.6,4,1,1.0
distilroberta-base,distilroberta-base,local,1,0.6,4,2,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,3,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,4,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,5,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,6,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,7,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,8,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,9,2.0
distilroberta-base,distilroberta-base,local,1,0.6,4,10,2.0
